ID,KEY,VALUE
17,DC Room - Building,ตึกศรีสวรินทิรา
17,Floor,7
17,Rack Number,-
17,Unit,-
17,Is Virtual?,Y
17,VM Cluster Group,ESXB Cluster
17,"IP Address
(Primary)",172.29.10.184
17,"IP Address
(BAK)",-
17,"IP Address
(Management iDRAC, iLO)",-
17,Operating System,Microsoft Windows Server 2012 (64-bit)
17,Service Pack,-
17,Database Vsersion,-
17,Service patch,-
17,เลขที่สัญญา,-
17,Delivery Date,-
17,MA Status,-
17,MA Start Date,-
17,MA Expired Date,-
17,Vender,-
17,ประเภทการรับประกัน,-
17,Owner,พงษ์ศักดิ์ พลเทพ
17,Type of Asset,Hardware
17, ISO Scope,-
17,System Doc,-
17,HealthCheck,-
17,Allow port firewall Server,-
17,Deploy App,
18,CI Name,SIA09-RPDCMM
18,Primary Capability,VM
18,Group (ห้ามแก้),ระบบสนับสนุน - Management / Monitor
18,System (ห้ามแก้),RP Management
18,System Detail,RP Management
18,Server Type (ห้ามแก้),
18,"Environment(Production, UAT, Testing/Development, Not Used,..)",Production
18,SAP ID,-
18,รหัสครุภัณฑ์,-
18,Serial Number,-
18,Organization,Siriraj
18,"Status
(Active / Inactive)",Active
18,Product Name,-
18,Model/Version,-
18,DC Room - Building,ตึกศรีสวรินทิรา
18,Floor,7
18,Rack Number,-
18,Unit,-
18,Is Virtual?,Y
18,VM Cluster Group,-
18,"IP Address
(Primary)",172.29.31.55
18,"IP Address
(BAK)",-
18,"IP Address
(Management iDRAC, iLO)",172.29.31.55
18,Operating System,-
18,Service Pack,-
18,Database Vsersion,-
18,Service patch,-
18,เลขที่สัญญา,-
18,Delivery Date,-
18,MA Status,-
18,MA Start Date,-
18,MA Expired Date,-
18,Vender,-
18,ประเภทการรับประกัน,-
18,Owner,-
18,Type of Asset,-
18, ISO Scope,-
18,System Doc,-
18,HealthCheck,-
18,Allow port firewall Server,-
18,Deploy App,
19,CI Name,SIA09-BXDV03
19,Primary Capability,VM
19,Group (ห้ามแก้),ระบบทดสอบ - Test / UAT
19,System (ห้ามแก้),Development
19,System Detail,Bacx Dev
19,Server Type (ห้ามแก้),
19,"Environment(Production, UAT, Testing/Development, Not Used,..)",Testing/Development
19,SAP ID,-
19,รหัสครุภัณฑ์,-
19,Serial Number,VMWare
19,Organization,Siriraj
19,"Status
(Active / Inactive)",Active
19,Product Name,-
19,Model/Version,-
19,DC Room - Building,ตึกศรีสวรินทิรา
19,Floor,7
19,Rack Number,-
19,Unit,-
19,Is Virtual?,Y
19,VM Cluster Group,ESPR Cluster
19,"IP Address
(Primary)",172.29.38.51
19,"IP Address
(BAK)",-
19,"IP Address
(Management iDRAC, iLO)",-
19,Operating System,Windows Server 2019 Standard
19,Service Pack,-
19,Database Vsersion,-
19,Service patch,-
19,เลขที่สัญญา,-
19,Delivery Date,-
19,MA Status,-
19,MA Start Date,-
19,MA Expired Date,-
19,Vender,-
19,ประเภทการรับประกัน,-
19,Owner,Basis Team
19,Type of Asset,Hardware
19, ISO Scope,No
19,System Doc,-
19,HealthCheck,-
19,Allow port firewall Server,-
19,Deploy App,
20,CI Name,A10-1
20,Primary Capability,Loadbalance
20,Group (ห้ามแก้),ระบบโรงพยาบาล - eHIS
20,System (ห้ามแก้),ระบบ Front Office : eHIS
20,System Detail,ระบบ Front Office : eHIS - Report Server
20,Server Type (ห้ามแก้),
20,"Environment(Production, UAT, Testing/Development, Not Used,..)",Production
20,SAP ID,131100036354
20,รหัสครุภัณฑ์,11060000-S-74400030005/61
20,Serial Number,TH10B23218101010
20,Organization,Siriraj
20,"Status
(Active / Inactive)",Active
20,Product Name,A10
20,Model/Version,Thunder 930
20,DC Room - Building,ตึกศรีสวรินทิรา
20,Floor,7
20,Rack Number,E04
20,Unit,39
20,Is Virtual?,N
20,VM Cluster Group,-
20,"IP Address
(Primary)",172.29.10.213
20,"IP Address
(BAK)",-
